"filename", "language", "Rust", "WGSL", "JSON with Comments", "comment", "blank", "total"
"c:\Users\Reo\Documents\code\note\src\animation.rs", "Rust", 24, 0, 0, 0, 5, 29
"c:\Users\Reo\Documents\code\note\src\bezier_fit.rs", "Rust", 269, 0, 0, 27, 34, 330
"c:\Users\Reo\Documents\code\note\src\camera.rs", "Rust", 199, 0, 0, 0, 26, 225
"c:\Users\Reo\Documents\code\note\src\catmull_rom.wgsl", "WGSL", 0, 54, 0, 0, 12, 66
"c:\Users\Reo\Documents\code\note\src\cs_bezier.wgsl", "WGSL", 0, 77, 0, 0, 16, 93
"c:\Users\Reo\Documents\code\note\src\cs_segment.wgsl", "WGSL", 0, 60, 0, 0, 13, 73
"c:\Users\Reo\Documents\code\note\src\disc.wgsl", "WGSL", 0, 43, 0, 0, 6, 49
"c:\Users\Reo\Documents\code\note\src\input.rs", "Rust", 20, 0, 0, 0, 2, 22
"c:\Users\Reo\Documents\code\note\src\launch.json", "JSON with Comments", 0, 0, 11, 0, 0, 11
"c:\Users\Reo\Documents\code\note\src\lib.rs", "Rust", 696, 0, 0, 10, 90, 796
"c:\Users\Reo\Documents\code\note\src\main.rs", "Rust", 3, 0, 0, 0, 1, 4
"c:\Users\Reo\Documents\code\note\src\math.rs", "Rust", 24, 0, 0, 0, 6, 30
"c:\Users\Reo\Documents\code\note\src\renderer.rs", "Rust", 553, 0, 0, 6, 46, 605
"c:\Users\Reo\Documents\code\note\src\stroke.rs", "Rust", 113, 0, 0, 9, 9, 131
"c:\Users\Reo\Documents\code\note\src\stroke.wgsl", "WGSL", 0, 81, 0, 0, 14, 95
"c:\Users\Reo\Documents\code\note\src\texture.rs", "Rust", 73, 0, 0, 0, 8, 81
"Total", "-", 1974, 315, 11, 52, 288, 2640
